06 sie 2023;Kraków, PL;Jêzyk SQL – zapytanie SELECT, optymalizowanie zapytañ oraz bazy danych;Stacja IT Kraków
05 sie 2023;Wroclaw, PL;Podstawy analizy danych w Power BI: od surowych danych do opublikowanego raportu;Stacja IT Wroc³aw
02 sie 2023;£ódŸ, PL;[WEBINAR] O superkomputerach i programowaniu równoleg³ym;Stacja IT £ódŸ
03 sie 2023;Warsaw, PL;Agile Coffee - wymieñmy siê doœwiadczeniami;The house of Agile
22 sie 2023;Poznan, PL;Postman – pierwsze kroki ze skryptami testowymi;Stacja IT Poznañ
15 sie 2023;Warsaw, PL;The Semantic Cure for Your GenAI Hangover;Big Data Demystified - Warsaw
01 sie 2023;Warsaw, PL;Jak zbudowaæ wielowarstwow¹ ochronê danych przed Ransomware;Cyberbezpieczeñstwo IT i OT
07 sie 2023;Warsaw, PL;Planowanie podejœcia do analizy w projekcie – praktyczne aspekty;Stacja IT Warszawa
24 sie 2023;Warsaw, PL;Klika Tech - Virtual Open House;Klika Tech - Virtual Open House Poland
22 sie 2023;Vienna, AT;Uncle Bob - clean code & clean architecture;Innovation & Agile
10 sie 2023;Warsaw, PL;Etyka w pracy Scrum Mastera;Scrumvival
07 sie 2023;Vienna, AT;Vienna Scrum Meetup;Vienna Scrum Meetup
09 sie 2023;Kraków, PL;[ONLINE] Event Storming & Event Modeling - Let's rock! [PL] - Show me some code!;[Software] Modeling Evolution PL
17 sie 2023;Vienna, AT;Gourmetküche GA4: Fortgeschrittene Rezepte für Tracking-Feinschmecker;Data-Driven Marketeers & Tracking Enthusiasts
03 sie 2023;Warsaw, PL;Microsoft Viva - anga¿owanie i wspieranie pracowników w œrodowisku Microsoft 365;Cloud and CyberSecurity
18 sie 2023;Prague, CZ;Workshop (4h): Empower your Testing Strategy with Autonomous Testing Bots;Wopee.io | your Autonomous Testing Universe
18 sie 2023;Vienna, AT;Have Your Store Evaluated for CRO Weekly Workshop;E-Commerce Vienna
31 lip 2023;Vienna, AT;Road to Google Developers Certification - Info Session;GDG Vienna
31 lip 2023;Budapest, HU;Come to our online co-learning night, Ladies!!;FutureTechQueens
07 sie 2023;Budapest, HU;Ingyenes SQL Tanfolyam (felhõs alapokon);SQL Tanfolyam
